YEAR,MONTH,STATE_NAME,STATE_CODE,CO2_QTY_TONNES,TF,NOTE
2024,6,FINLAND,EF,184845.80812,8474,FALSE
2024,6,FRANCE,LF,1933646.34948,86994,FALSE
2024,6,GEORGIA,UG,67898.73556,2947,FALSE
2024,6,GERMANY,ED,2479777.922,92336,FALSE
2024,6,GREECE,LG,686819.53354,40871,FALSE
2024,6,HUNGARY,LH,116207.16324,6142,FALSE
2024,6,ICELAND,BI,64591.11952,2395,FALSE
2024,6,IRELAND,EI,319384.30348,14094,FALSE
2024,6,ITALY,LI,1528333.27208,85781,FALSE
2024,6,KOSOVO,BK,17022.80624,1140,FALSE
2024,6,LATVIA,EV,39152.46976,3016,FALSE
2024,6,LIECHTENSTEIN,LS,0.99856,2,FALSE
2024,6,LITHUANIA,EY,39934.18222,2993,FALSE
2024,6,LUXEMBOURG,EL,161586.6778,3321,FALSE
2024,6,MALTA,LM,49799.78866,3397,FALSE
2024,6,"MOLDOVA, REPUBLIC OF",LU,26730.99454,1715,FALSE
2024,6,MONACO,LN,28.247239999999998,46,FALSE
2024,6,MONTENEGRO,LY,18151.59314,1627,FALSE
2024,6,NETHERLANDS,EH,889428.88468,28620,FALSE
2024,6,NORTH MACEDONIA,LW,14558.31908,1092,FALSE
2024,6,NORWAY,EN,257048.89162,29005,TRUE
2024,6,POLAND,EP,377253.83638,24181,FALSE
2024,6,PORTUGAL,LP,532933.04888,24273,TRUE
2024,6,ROMANIA,LR,141066.89664,9896,FALSE
2024,6,SERBIA,LY,52713.13186,4193,FALSE
2024,6,SLOVAKIA,LZ,22169.85308,1961,FALSE
2024,6,SLOVENIA,LJ,9765.76398,1236,FALSE
2024,6,SPAIN,LE,1832871.92002,89730,FALSE
2024,6,SWEDEN,ES,211615.509,17925,FALSE
2024,6,SWITZERLAND,LS,495778.46324,21552,FALSE
2024,6,TÜRKIYE,LT,1896435.36602,71702,FALSE
2024,6,UNITED KINGDOM,EG,3226702.3923,106752,TRUE
2024,7,ALBANIA,LA,50913.96956,3662,FALSE
2024,7,ARMENIA,UD,46046.0506,2025,FALSE
2024,7,AUSTRIA,LO,273517.46006,15880,FALSE
2024,7,BELGIUM,EB,502906.22412,15151,FALSE
2024,7,BOSNIA AND HERZEGOVINA,LQ,21874.45814,1376,FALSE
2024,7,BULGARIA,LB,88615.21718,5788,FALSE
2024,7,CANARY ISLANDS,GC,289458.74378,19086,FALSE
2024,7,CROATIA,LD,118113.71334,10125,FALSE
